"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","cond_pos","cond_neg","message_choice","choice_dom","choice_nondom","comp_dom_1","comp_nondom_1","attitude_dom","attitude_nondom","preference","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2","CWV_3","CWV_4","CWV_5","CWV_6","CWV_7","CWV_8","CWV_9","CWV_10","check_1","check_2","age","gender_.99_TEXT","race_5_TEXT","feedback","cond","cond_word","cond_word1","Employment_1","Employment_2","Employment_3","Employment_4","Employment_5","Employment_6","Employment_7","Employment_8","Employment_9","gender","race_1","race_2","race_3","race_4","race_5","race_6","income","edu"
11,"0","100","303","1","1","4","","The message provided has a very condescending tone, it devalues the employee's worth to just their bonus.","2","","1","","35","","5","5","15","20","20","30","40","50","65","70","85","100","3","6","2","3","6","2","5","2","3","6","5","blue","28","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","","hispanic","","","$100,001-$120,000","MA"
12,"0","100","344","1","1","4","","They might feel that they are being pressured and would not want to do their best","2","","2","","30","","5","5","8","14","20","24","30","34","40","47","53","53","3","4","2","3","4","3","3","2","3","4","5","green","42","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$100,001-$120,000","4yearColl"
13,"0","100","280","1","1","4","The employee would feel motivated to achieve the bonus and feel like they have some ownership over their ability to earn more money.","","1","1","","50","","6","","5","60","70","80","90","100","100","100","100","100","100","2","7","1","2","7","1","7","1","5","6","5","yellow","","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$140,001-$160,000","4yearColl"
14,"0","100","339","1","1","4","The employee might positively see the upcoming bonus as incentive for doing a good and thorough job. They could consider teamwork and that if they look out for their boss, their boss will also look out for them.","","1","1","","45","","7","","4","25","25","50","50","50","50","75","75","75","100","2","7","1","1","7","1","7","1","7","7","5","Purple ","34","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","hispanic","","","$60,001-$80,000","GED"
15,"0","100","375","1","1","4","","They might feel pressured and resentful, they could take the message as a threat rather than encouragement. This could make them feel demotivated and viewing the manager as overly demanding. They might feel as if they're focused only on their own bonus, potentially damaging the trust and relationship between them.","2","","1","","25","","2","6","0","10","20","30","40","50","65","80","90","100","2","7","1","1","7","2","7","1","6","6","5","Blue","39","","Pacific Islander","","neg","negatively","negative","Full-time","","","","","","","","","man","","","","",NA,"","$100,001-$120,000","GED"
16,"0","100","179","1","1","4","","They could view this message as negative because it seems more like a demand. ","2","","1","","26","","5","5","5","10","16","20","25","30","35","40","45","50","5","2","4","4","6","5","4","4","3","2","5","pink","37","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","","","","Click to write Choice 7","Prefer not to answer",NA
17,"0","100","303","1","1","4","This message would impact the employee negatively because it’s a very aggressive message. It comes off as a threat as in “do well or you don’t get paid”. I think a better approach is to encourage them rather than threaten. ","","2","","1","","44","","5","6","5","15","30","36","43","55","62","71","81","100","4","5","3","3","3","5","5","1","4","3","5","Orange","","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","2yearColl"
18,"0","100","387","1","1","4","I would think that the positive aspect is telling them that they should do their best. That's encouraging. ","","2","","1","","44","","6","6","10","20","30","40","50","60","70","80","90","100","6","3","1","5","5","7","6","1","6","6","5","red","42","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","GED"
19,"0","100","244","1","1","4","","The employee may see this as unfriendly and an ultimatum.  Rather than focusing on success this seems more like a threat. ","2","","1","","45","","6","5","0","0","13","20","25","32","53","67","84","100","4","2","2","2","7","3","6","3","4","4","5","blue","43","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","4yearColl"
20,"0","100","360","1","1","4","They feel positive about being encouraged to do their best and the possibility of a bonus.","","1","1","","50","","6","","5","10","20","28","35","43","52","62","73","84","100","2","6","1","3","6","1","6","2","2","5","5","purple ","45","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","hispanic","","","$40,001-$60,000","4yearColl"
21,"0","100","406","1","1","4","The employee would have a positive reaction to knowing the manager has confidence in them, and that they have the potential to earn a bonus.","","2","","1","","25","","3","5","0","0","0","50","50","100","100","100","100","100","5","5","2","2","5","5","6","1","7","5","5","Grey","36","","","","pos","positively","positive","","Part-time","","","","","","","","man","","","white","","","","$60,001-$80,000","GED"
22,"0","100","225","1","1","4","","It's using negative reinforcement - this is the punishment for not doing it well.","2","","2","","40","","3","6","10","20","30","40","50","60","70","80","90","100","3","4","2","1","6","2","7","2","6","6","5","Green","27","","Arab","","neg","negatively","negative","Full-time","","","","","","","","","man","","","","",NA,"","$120,001-$140,000","2yearColl"
23,"0","100","408","1","1","4","","This message emphasizes what is at stake to be lost and can be felt like a threat.","2","","1","","30","","2","6","100","100","100","100","100","100","100","100","100","100","4","7","2","1","6","2","6","1","5","4","5","Blue","30","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","PHD"
24,"0","100","223","1","1","4","","They might have a negative opinion about their manager taking away a bonus from them and that they are being controlled and punished.","1","1","","40","","3","","4","10","20","30","40","50","60","70","80","90","100","3","5","4","3","5","4","4","2","6","5","5","Green","28","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$120,001-$140,000","4yearColl"
25,"0","100","302","1","1","4","","They might think that the manager is kind of rude and not very cordial. Although the manager is just telling the truth, it could have come across a bit friendlier.","1","1","","35","","3","","5","0","0","10","25","25","25","40","40","50","75","6","3","3","5","5","6","6","2","6","3","5","Blue","25","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","4yearColl"
26,"0","100","365","1","1","4","","negative thoughts focus on not getting the full bonus, and focus on not performing well.","2","","2","","30","","5","5","13","22","33","45","56","69","80","87","96","100","5","6","3","1","7","3","7","2","6","7","5","blue","44","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$20,001-$40,000","GED"
27,"0","100","312","1","1","4","They think the manager is the best at makeing sure their job goes easy and efficient.","","2","","1","","50","","7","6","100","100","100","100","100","100","100","100","100","100","1","5","1","1","7","6","7","1","7","5","5","Purple","40","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","black","","","","","$120,001-$140,000","4yearColl"
28,"0","100","330","1","1","4","I think it seems to be slightly motivating.  I think this may get the person to give it their all.","","1","1","","35","","4","","4","8","13","31","49","63","73","79","84","89","100","1","6","1","2","6","2","5","2","5","5","5","Yellow","36","","","I thought it was a great study!","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$120,001-$140,000","MA"
29,"0","100","420","1","1","4","We start by affirming the employee knows the task at hand suggesting there is confidence in their ability to perform the task successfully. ","","1","1","","50","","5","","4","100","100","100","90","90","80","80","80","80","80","5","5","3","2","5","3","5","3","5","4","5","green","45","","","","pos","positively","positive","Full-time","","","","","","","","","man","asian","","","","","","$80,001-$100,000","4yearColl"
30,"0","100","187","1","1","4","the employee might feel negative because this message is almost degrading like knowing what to do and they might not know what to do with this description its mainly focused on getting the bonus","","2","","1","","39","","7","6","20","29","32","21","21","12","12","9","11","14","5","6","2","2","6","4","6","2","6","2","5","blue","30","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$60,001-$80,000","4yearColl"
31,"0","100","331","1","1","4","They will know they will be rewarded for their hard work. I think with this incentive they will do really well in the task.","","1","1","","45","","6","","6","10","20","30","40","50","60","70","80","90","100","2","6","2","2","6","2","6","2","6","6","5","Navy Blue","52","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$60,001-$80,000","2yearColl"
32,"0","100","356","1","1","4","","The message appears single minded. It lacks compassion and motivation. The message appears like the manager wants the employee to perform well for the manager's montary gains. This may decrease moral. ","2","","1","","36","","6","6","20","31","42","52","64","72","77","85","93","97","3","5","3","3","5","2","5","4","6","5","5","purple","38","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","asian","","","","","","$140,001-$160,000","4yearColl"
33,"0","100","383","1","1","4","","It is a little threatening by noting what will happen if they don't do well.  It also is a little vague in terms of what doing well is. ","2","","1","","40","","5","4","0","0","0","0","25","50","60","70","80","100","2","6","1","3","6","2","6","2","5","6","5","Blue","31","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","Over $200,000","4yearColl"
34,"0","100","282","1","1","4","","It might create negative feelings because it seems a bit curt and not very encouraging.","2","","1","","34","","3","5","10","11","11","21","29","31","35","51","78","100","3","5","2","2","6","5","5","2","5","5","5","Purple","35","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$100,001-$120,000","MA"
35,"0","100","358","1","1","4","","It doesn't really create an incentive or give encouragement. It seems more threatening.","2","","2","","26","","2","6","10","20","30","40","50","60","70","80","90","100","4","6","3","2","6","5","7","1","6","5","5","Blue","40","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","","hispanic","","","$40,001-$60,000","MA"
36,"0","100","203","1","1","4","","They didn't fully motivate the employee in order to do their best.","2","","1","","35","","6","5","9","17","20","36","54","62","74","77","64","56","6","6","6","6","6","6","6","6","6","6","6","orange","30","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$60,001-$80,000","4yearColl"
37,"0","100","289","1","1","4","The employee may see this as a welcome challenge. Hopefully they would be incentivized to work toward getting the full bonus and doing their best!","","1","1","","44","","5","","4","20","28","39","47","56","64","73","82","89","100","3","4","2","2","6","4","5","1","4","2","5","teal","33","","","","pos","positively","positive","Full-time","Part-time","","","","","","","","woman","asian","","white","","","","$20,001-$40,000","MA"
38,"0","100","475","1","1","4","","The message shows pressure on the employee to do well or have a negative repercussion of not receiving the bonus. The employee doesn't want to be reminded of the negative consequences. A manager should give positive encouragement.","2","","2","","40","","1","6","10","20","30","40","50","60","70","80","90","100","1","7","1","1","7","1","7","1","6","7","5","blue","46","","","","neg","negatively","negative","","","","Unemployed","","","","","","man","","","white","","","","$60,001-$80,000","4yearColl"
39,"0","100","447","1","1","4","","The tone of the message may come across as threatening, which means the employee will feel pressured and it sets a potentially negative mindset for the task at hand. This negative mindset may also manifest into negative feelings about the manager, creating a negative relationship, albeit unintentionally.","1","1","","30","","3","","4","5","10","15","20","25","30","35","40","50","100","5","5","3","2","6","4","6","2","6","6","5","Blue","44","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","","hispanic","","","$40,001-$60,000","4yearColl"
40,"0","100","392","1","1","4","The employee might feel a bit more motivated knowing that there is a potential bonus involved. They might also feel that their manager sees value in them for assigning them this task in the first place.","","2","","1","","50","","5","4","10","15","15","30","30","30","40","60","70","80","5","5","5","4","6","5","4","3","4","2","5","Red","41","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$20,001-$40,000","2yearColl"
41,"0","100","386","1","1","4","","The message can sound a little threatening because the bonus will be withheld if they dont do good ","2","","1","","40","","3","4","30","49","60","70","70","80","90","100","100","100","5","3","3","3","6","5","3","2","2","5","5","blue","32","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","4yearColl"
42,"0","100","452","1","1","4","The message conveys a sense of trust in the employee - ""time to get in there and do your absolute best"" would make the employee feel as if the manager specifically selected them for this task based on their skillset. ","","2","","1","","40","","5","4","0","0","0","10","25","50","75","90","100","100","3","4","2","5","5","4","4","2","3","6","5","Red","30","","","Was the ""favorite color"" question an attention check? I honestly don't remember any instructions that would have been related to it... ","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$140,001-$160,000","4yearColl"
43,"0","100","349","1","1","4","","The employee would have a negative attitude because the statement mentions how compensation is tied to performance. Instead of leaving that out, if the employee does not receive the full bonus they know that the manager is unsatisfied with their job performance.","2","","1","","45","","2","6","10","20","30","40","50","60","70","80","90","100","5","3","1","1","6","5","7","1","7","5","5","Red","19","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","Over $200,000","GED"
44,"0","100","303","1","1","4","While the message may seem curt, in truth, the manager is not being critical or mean. By presenting the scenario honestly, they are providing me with the knowledge I need to win, and expressing our shared motivations for the company to succeed.","","1","1","","40","","5","","5","5","10","10","15","20","20","25","45","75","100","1","7","1","1","7","1","7","1","6","5","5","blue","39","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","MA"
45,"0","100","351","1","1","4","The above message hints that you (the boss) are the one who can withhold a bonus for completing the task correctly","","2","","1","","40","","5","4","10","20","25","36","49","60","70","76","87","100","1","6","1","1","7","4","6","1","6","5","5","Lilac","30","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$20,001-$40,000","4yearColl"
46,"0","100","276","1","1","4","","I feel as though my manager uses fear or threats to encourage me to do my job. I’d prefer if they would have a friendlier relationship with me.","2","","2","","28","","2","6","0","0","0","0","0","0","0","22","67","100","4","6","3","3","6","3","5","2","4","5","5","Green","27","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","Over $200,000","PHD"
47,"0","100","409","1","1","4","","They could take offense to some of the wording such as now i now the task at hand but i could be a little discouraged if i don't know many of the shapes. ","2","","1","","39","","5","6","6","18","19","24","30","36","42","59","73","93","1","5","1","2","7","4","7","4","7","5","5","blue","30","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$0-$20,000","GED"
48,"0","100","407","1","1","4","I think positively the employee would think it's nice that the manager is so encouraging. ","","2","","2","","15","","1","6","100","100","100","100","100","100","100","100","100","100","3","6","2","2","6","5","5","2","5","3","5","blue","29","","","","pos","positively","positive","Full-time","","","","","","","","","woman","asian","","","","","","$60,001-$80,000","4yearColl"
49,"0","100","400","1","1","4","","This is not an encouraging message and could easily turn off a lot of employees. It also does not explain the task - it just says by now you know the task. I like how there was a summary in the other message.","2","","1","","10","","2","6","5","10","20","25","40","45","50","65","85","100","2","4","2","1","6","4","6","1","6","3","5","Blue","35","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","Over $200,000","4yearColl"
50,"0","100","426","1","1","4","The message above will likely not give a positive reaction from the employee. The message is a bit demanding, and threatens rather than directs. ","","1","1","","31","","3","","5","20","35","50","100","100","100","100","100","100","100","6","5","2","2","6","4","6","3","5","6","5","Purple","23","","","","pos","positively","positive","","Part-time","","","","","","","","man","asian","","","","","","$40,001-$60,000","4yearColl"
51,"0","100","504","1","1","4","","People have different strengths and weaknesses. Not everyone will excel at this activity.","2","","1","","35","","5","4","10","21","32","45","53","66","73","82","93","100","3","6","2","2","7","3","7","2","5","6","5","blue","33","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","4yearColl"
52,"0","100","499","1","1","4","","This is a much more heavy-handed approach. It is not encouraging. It offers the incentive but without taking into account the employee's general willingness to perform well.","2","","1","","40","","3","5","20","30","40","50","60","70","80","90","95","100","2","6","1","2","6","2","5","2","5","6","5","Green","45","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$80,001-$100,000","4yearColl"
53,"0","100","447","1","1","4","","The employee could feel pressured or not valued. And see the message as more of a demand, not encouragement. This can negatively effect morale or motivation.","2","","2","","40","","2","4","10","20","30","40","50","60","70","80","90","100","5","4","2","4","6","5","6","3","5","4","5","black","21","","","","neg","negatively","negative","Full-time","","","","","","","","","man","asian","","white","","","","$120,001-$140,000","GED"
54,"0","100","432","1","1","4","The message is encouraging, but also sets a firm standard, which most people would respond positively to","","2","","1","","30","","6","6","0","0","10","16","24","36","53","64","87","100","2","5","3","2","6","3","5","2","5","4","5","blue","","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","4yearColl"
55,"0","100","529","1","1","4","The tone of a message will describe the attitude used to complete a given task","","2","","2","","8","","2","6","21","30","40","52","65","71","76","82","87","100","5","7","1","1","7","4","7","1","7","7","5","pink","26","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","black","","","","","$120,001-$140,000","MA"
56,"0","100","475","1","1","4","There would want to earn the bonus and look at it as a challenge and want to compete","","2","","1","","40","","7","6","10","15","20","25","30","30","30","50","60","100","2","7","7","5","7","5","7","3","6","7","5","Red","36","","","","pos","positively","positive","Full-time","","","","","","","","","man","","black","","","","","$40,001-$60,000","4yearColl"
57,"0","100","482","1","1","4","","They could feel like they are being coerced to do something that does not really matter. It might feel like a hostile managerial dynamic.","1","1","","32","","3","","4","0","0","25","40","60","80","100","100","100","100","5","6","4","5","5","5","6","3","3","3","5","blue","22","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$60,001-$80,000","4yearColl"
58,"0","100","379","1","1","4","","It may come across as a bit strident in tone. It may make them anxious that they won't do well on it. ","2","","1","","45","","5","4","10","20","30","40","50","60","70","80","90","100","1","6","1","1","7","1","7","1","3","6","5","green","61","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$60,001-$80,000","GED"
59,"0","100","449","1","1","4","The positive thought is that if the employee do well, they'll get a bonus. Having the possibility to receive a bonus can be motivation for doing well.","","2","","1","","36","","2","5","5","10","15","25","40","60","70","80","90","100","4","6","3","3","5","4","6","3","6","6","5","blue","32","","","","pos","positively","positive","Full-time","","","","","","","","","woman","asian","","","","","","$100,001-$120,000","MA"
60,"0","100","451","1","1","4","","Knowing that their performance can affect the bonus might come off as negative and that if they do not do well then they do not deserve a bonus for their hard work. ","2","","1","","40","","3","4","20","20","50","50","75","75","90","90","100","100","3","6","2","1","5","5","6","1","6","5","5","Green","36","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","Over $200,000","4yearColl"
61,"0","100","316","1","1","4","I feel they would be encouraged to do their hardest, and to not let the manager down. By doing their best and pushing forward to make sure they get that full bonus.","","2","","1","","40","","3","5","100","100","100","100","100","100","100","100","100","100","4","5","3","2","5","5","5","5","5","5","5","Green","38","","","","pos","positively","positive","","","","","","","Homemaker","","","woman","","","white","","","","$100,001-$120,000","2yearColl"
62,"0","100","286","1","1","4","They may be motivated by the bonus. This prompt emphasizes the appeal of the bonus and the opportunity to get more money. ","","2","","1","","30","","4","5","50","50","50","60","70","75","80","85","90","100","3","5","2","3","5","4","5","3","6","3","5","Green","32","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","4yearColl"
63,"0","100","424","1","1","4","","I think this has a threatening tone which will not inspire the employee. They will go into the assignment feeling pressured rather than encouraged and inspired. You have to build up an employee's self esteem and confidence so they can do their best.","2","","2","","29","","2","6","21","38","47","56","67","76","80","75","53","37","2","6","1","1","6","1","4","1","5","5","5","pink","58","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$180,001-$200,000","4yearColl"
64,"0","100","457","1","1","4","Even though the message is a bit more stern, there is encouragement (e.g., ""do your absolute best""). Also, by saying ""by now you know the task at hand"" the employee may think that the manager trusts them implicitly.","","2","","1","","40","","3","6","10","20","30","40","50","60","70","80","90","100","5","7","1","2","7","1","7","1","6","3","5","blue","32","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","Over $200,000","MA"
65,"0","100","538","1","1","4","The person could feel positively that the manager is so direct and straight-forward. They could also feel positively about the bonus they could earn.","","1","1","","39","","5","","4","100","100","100","100","100","100","100","100","100","100","6","6","1","5","6","5","7","1","5","2","5","Green","29","","","","pos","positively","positive","Full-time","","","","","","","Student","","man","","","white","","","","$20,001-$40,000","GED"
66,"0","100","420","1","1","4","","The task requires pressure to be put on the participants.  This pressure might make them feel uneasy/uncomfortable","2","","2","","15","","2","6","43","42","41","43","44","43","29","31","31","31","7","5","1","2","7","5","5","2","6","6","5","green","50","","","none","neg","negatively","negative","Full-time","","","","","","","","","man","","","white","","","","$100,001-$120,000","PHD"
67,"0","100","349","1","1","4","The employee would believe that the manager has full faith in their skillset and maturity, to the point where explanations are not necessary. ","","2","","1","","45","","6","6","10","20","30","40","50","60","70","90","100","100","5","2","6","5","6","6","5","1","5","5","5","Pink","24","","","","pos","positively","positive","Full-time","","","","","","","","","woman","asian","","","","","","$0-$20,000","4yearColl"
68,"0","100","318","1","1","4","The worker might be motivated by the promise of the bonus and will want to do well","","1","1","","40","","5","","5","5","20","30","40","50","55","65","75","85","100","2","5","2","2","5","3","7","2","6","5","5","Blue","46","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","","hispanic","","","$100,001-$120,000","4yearColl"
69,"0","100","361","1","1","4","This may have a positive effect as it shows the manager is focused on them being able to maximize their income.","","2","","1","","33","","2","6","30","35","40","45","50","60","70","80","90","100","3","6","1","3","7","5","7","1","6","5","5","Yellow","25","","","","pos","positively","positive","","Part-time","","","","","","","","woman","","","white","","","","$60,001-$80,000","4yearColl"
70,"0","100","341","1","1","4","It sounds like they believe in the employees ability to do a good job because they say time to get in there and do your absolute best.","","2","","1","","40","","6","5","11","19","30","40","50","60","70","80","90","100","1","7","1","1","7","2","7","1","7","5","5","purple","42","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","4yearColl"
71,"0","100","524","1","1","4","","The manager is setting up the employee for failure.  There is pressure put on that will negatively affect the employee when they do not complete it or do well.  The employee could start the task with anxiety. ","2","","2","","25","","2","6","10","20","30","40","50","60","70","80","90","100","4","5","1","1","6","5","7","1","7","6","5","green","68","","","","neg","negatively","negative","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","MA"
72,"0","100","455","1","1","4","","The way the statement is phrased ends negatively. It makes it sound like it would be a punishment to not receive the bonus.","2","","1","","25","","3","4","25","50","50","50","50","50","75","75","100","100","2","6","1","1","6","5","6","1","6","5","5","blue","51","","","","neg","negatively","negative","","Part-time","","","","","","","","woman","","","white","","","","$20,001-$40,000","MA"
73,"0","100","419","1","1","4","This message could be construed as trust in the employee. ""it is time to get in here and do your absolute best..."" could be seen as supportive. ","","2","","1","","25","","3","6","10","20","30","40","50","60","70","80","90","100","3","3","2","4","4","5","5","1","6","6","5","Pink","25","","","","pos","positively","positive","Full-time","","","","","","","","","man","","","white","","","","$40,001-$60,000","4yearColl"
74,"0","100","407","1","1","4","The employee will realize that there's a bonus involved and that they will get more of the bonus if they do well.  Even if they don't, it's implied they will get some of the bonus.","","1","1","","40","","6","","5","10","20","30","40","50","60","70","80","90","100","4","6","2","2","6","4","6","2","5","5","5","blue","48","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$80,001-$100,000","MA"
75,"0","100","382","1","1","4","It is positive because telling everyone to try their best means everyone has the best chance to get their respective bonus. ","","1","1","","30","","4","","4","10","30","50","60","75","100","100","100","100","100","1","7","1","1","7","1","7","1","6","6","5","purple","32","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","white","","","","$40,001-$60,000","GED"
76,"0","100","468","1","1","4","","This message is aggressive and sends an underlying message that the other person is only there to bring income to the sender of the message.","2","","2","","40","","2","6","10","20","30","40","50","60","70","80","90","100","4","6","2","1","6","2","6","1","6","4","5","black","58","","","","neg","negatively","negative","Full-time","","","","","","","","","man","","black","","","","","$20,001-$40,000","2yearColl"
77,"0","100","397","1","1","4","I think the employee will have a positive reaction to the message because it's very straight-forward but in a respectful way.","","2","","1","","50","","7","6","5","10","15","20","25","30","35","40","45","50","5","6","2","2","6","5","6","2","7","4","5","green","25","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","black","","","","","$40,001-$60,000","2yearColl"
78,"0","100","552","1","1","4","An employee may be motivated by this message. Thinking if they will do well, they will win the favor of their manager.","","2","","1","","50","","6","6","10","20","30","40","50","60","70","80","90","100","5","6","1","2","7","5","7","2","6","5","5","Black","51","","","","pos","positively","positive","Full-time","","","","","","","","","woman","","","","hispanic","","","$60,001-$80,000","MA"
